Id,Supplier,Recipient,No. ordered,No. ordered data uncertain,Designation,Description,Status,Status data uncertain,Year of order,Year of order data uncertain,Year(s) of deliveries,No. delivered,Year(s) of delivery or no. delivered data uncertain,Recipient Involvement,Comment
27750,Poland,"Philippines, the",8,,W-3 Sokol,Helicopter,New,,2011,,2012 - 2013,8,,,PHP2.8 b ($64 m) deal
26584,Poland,United States,21,,MiG-21bis/Fishbed-N,Fighter aircraft,SecondHand,,2012,Yes,2013 - 2013,21,,,Ex-Polish; for US company for training of US forces
26679,Poland,United States,4,,MiG-21PFM/Fishbed-F,Fighter aircraft,SecondHand,,2012,,2013 - 2013,4,,,Ex-Polish; MiG-21UM version; for US company for training of US forces
38193,Romania,Mozambique,2,Yes,R40S Festival,Light aircraft,New,,2012,Yes,2013 - 2013,2,Yes,,
36559,Romania,Netherlands,2,,Holland,OPV,New,,2007,,2012 - 2013,2,Yes,,Designed in Netherlands and produced in Romania for Netherlands
16783,Russia,Afghanistan,12,,Mi-8MT/Mi-17/Hip-H,Helicopter,New,,2013,,2013 - 2013,12,,,Part of $171 m deal (financed by USA); ordered via USA; Mi-17V-5 version
20271,Russia,Algeria,38,Yes,96K9 Pantsyr-S1,Mobile AD system,New,,2006,Yes,2012 - 2013,24,Yes,,
350,Russia,Algeria,120,,T-90S,Tank,New,,2011,,2012 - 2013,120,Yes,,$470 m deal
30773,Russia,Algeria,30,Yes,Kh-35 Uran/SS-N-25,Anti-ship missile,New,,2009,Yes,2011 - 2013,30,Yes,,For modernized Project-1234 (Nanuchka or Hamidou) corvettes
6504,Russia,Algeria,500,Yes,9M131/AT-13 Saxhorn,Anti-tank missile,New,,2006,Yes,2009 - 2013,500,Yes,,
6162,Russia,Algeria,20,Yes,TEST-71,AS/ASW torpedo,New,,2007,Yes,2011 - 2013,20,Yes,,For modernized Project-1159 (Koni or Mourad Rais) frigates
4168,Russia,Algeria,750,Yes,9M311/SA-19 Grison,SAM,New,,2006,Yes,2012 - 2013,400,Yes,,For Pantsyr-S1 AD systems
5918,Russia,Azerbaijan,1,Yes,9K40 Buk/SA-17,SAM system,New,Yes,2012,,2013 - 2013,1,Yes,,Probably ex-Russian Buk (SA-11) system rebuilt to Buk-MB
25616,Russia,Azerbaijan,24,,Mi-24VM/Hind-E,Combat helicopter,New,Yes,2010,,2011 - 2013,20,Yes,,$360 m deal; Mi-35M version (possibly second-hand Mi-24 rebuilt to Mi-35M); delivery 2011-2014
16785,Russia,Azerbaijan,66,Yes,Mi-8MT/Mi-17/Hip-H,Helicopter,New,,2010,Yes,2010 - 2013,53,Yes,,Incl 20 for border guard and 6 for police
24805,Russia,Azerbaijan,100,Yes,BMP-3,IFV,New,,2011,,2013 - 2013,100,Yes,,BMP-3M version
352,Russia,Azerbaijan,94,Yes,T-90S,Tank,New,,2011,,2013 - 2013,94,Yes,,
14978,Russia,Azerbaijan,18,,2S19 MSTA-S 152mm,Self-propelled gun,New,,2011,Yes,2012 - 2013,18,Yes,,
23450,Russia,Azerbaijan,18,Yes,2S31 Vena,Self-propelled mortar,New,,2011,Yes,2012 - 2013,18,Yes,,
29407,Russia,Azerbaijan,18,Yes,BM-9A52 Smerch,Self-propelled MRL,New,,2011,Yes,2012 - 2013,18,Yes,,
15300,Russia,Azerbaijan,6,,TOS-1,Self-propelled MRL,New,,2011,Yes,2013 - 2013,6,Yes,,
27663,Russia,Azerbaijan,1000,Yes,9M117/AT-10 Stabber,Anti-tank missile,New,,2011,Yes,2013 - 2013,1000,Yes,,For BMP-3 IFV
4275,Russia,Azerbaijan,100,Yes,9M317/SA-17 Grizzly,SAM,New,Yes,2012,,2013 - 2013,100,Yes,,
6508,Russia,Bangladesh,1200,Yes,9M131/AT-13 Saxhorn,Anti-tank missile,New,,2012,Yes,2013 - 2013,1200,Yes,,
27614,Russia,Belarus,4,,Tor-M1/SA-15,Mobile SAM system,New,,2012,Yes,2013 - 2013,4,Yes,,
2146,Russia,Belarus,100,Yes,9M338/SA-15 Gauntlet,SAM,New,,2012,Yes,2013 - 2013,100,Yes,,
25612,Russia,Brazil,12,,Mi-24VM/Hind-E,Combat helicopter,New,,2009,,2010 - 2013,12,Yes,,$150 m deal; Mi-35M version; Brazilian designation AH-2 Sabre
34458,Russia,Brazil,300,Yes,Igla-S/SA-24,Portable SAM,New,,2010,Yes,2010 - 2013,300,Yes,,
16805,Russia,Cameroon,1,Yes,Mi-8MT/Mi-17/Hip-H,Helicopter,New,,2013,,2013 - 2013,1,Yes,,
24075,Russia,China,92,Yes,AK-630 30mm,Naval gun,New,,2002,Yes,2004 - 2013,86,Yes,,"For 2 Type-054 (Jiangkai-1) frigates, 60 Type-022 (Houbei) FAC and 4 Type-071 (Yuzhao) AALS produced in China and 4 Zubr landing craft from Ukraine; possibly produced in China"
16794,Russia,China,55,,Mi-8MT/Mi-17/Hip-H,Helicopter,New,,2012,,2013 - 2013,25,Yes,,Mi-171E version; possibly incl for civilian use; delivery 2013-2014
16796,Russia,China,52,,Mi-8MT/Mi-17/Hip-H,Helicopter,New,,2012,,2013 - 2013,32,Yes,,Mi-171E version; possibly for police or other non-military government agency; delivery 2013-2014
8068,Russia,China,5,Yes,Il-76M/Candid-B,Transport aircraft,SecondHand,Yes,2011,,2013 - 2013,5,Yes,,Second-hand
12293,Russia,China,123,,AL-31,Turbofan,New,,2011,,2012 - 2013,70,Yes,,$500 m deal; AL-31FN version; for J-10 combat aircraft produced in China
12294,Russia,China,150,Yes,AL-31,Turbofan,New,,2011,,2012 - 2013,35,Yes,,For J-11B combat aircraft produced in China; AL-31F version
8919,Russia,China,184,,D-30,Turbofan,New,,2011,,2012 - 2013,64,Yes,,For H-6K bomber aircraft and Y-20 transport aircraft produced in China and modernization of Il-76 transport aircraft
30794,Russia,China,,,Kh-59MK/AS-18MK,Anti-ship missile,New,,2004,Yes,2008 - 2013,150,Yes,,For Su-30 combat aircraft; probably Kh-59MK2 version developed for and funded by China
33930,Russia,China,,,Kh-31A1/AS-17,Anti-ship missile/ARM,New,,1997,Yes,2001 - 2013,835,Yes,Yes,"Kh-31A and Kh-31P or Kh-31AMK and Kh-31PMK version; for Su-30, J-8M and/or JH-7 combat aircraft; including production of Kh-31P in China as KR-1, YJ-9 or YJ-91"
9745,Russia,China,,,9M119/AT-11 Sniper,Anti-tank missile,New,,1998,Yes,2001 - 2013,1300,Yes,Yes,For Type-98 and Type-99 tanks
16741,Russia,Egypt,14,,Mi-8MT/Mi-17/Hip-H,Helicopter,New,,2009,,2012 - 2013,14,Yes,,$100 m deal; armed Mi-17V-5 version
16770,Russia,Ghana,4,,Mi-8MT/Mi-17/Hip-H,Helicopter,New,,2012,,2013 - 2013,4,Yes,,EUR64 m deal; Mi-171Sh armed version
16799,Russia,Ghana,2,,Mi-8MT/Mi-17/Hip-H,Helicopter,New,,2012,,2013 - 2013,2,Yes,,EUR24 m deal; Mi-171Sh armed version
24083,Russia,India,16,,AK-630 30mm,Naval gun,New,,2006,Yes,2012 - 2013,12,Yes,,For 4 Saryu OPV produced in India and 2 Deepak support ships from Italy
18201,Russia,India,5,,Ka-31/Helix,AEW helicopter,New,,2009,Yes,2013 - 2013,5,,,INR9.5 b ($198 m) deal
12669,Russia,India,140,,Su-30MK/Flanker,FGA aircraft,New,,2001,Yes,2005 - 2013,86,Yes,Yes,$3-5.4 b deal; Su-30MKI version; delivery 2005-2017
6754,Russia,India,62,Yes,MiG-29SMT/Fulcrum,FGA aircraft,New,Yes,2008,,2012 - 2013,6,Yes,Yes,$850-965 m deal; Indian MiG-29 rebuilt to MiG-29UPG (MiG-29SMT); delivery 2012-2016
6750,Russia,India,29,,MiG-29SMT/Fulcrum,FGA aircraft,New,,2010,,2012 - 2013,11,Yes,,$1.2-1.5 b deal; MiG-29K version; incl 4 MiG-29KUB; for use on IAC aircraft carrier
16675,Russia,India,80,,Mi-8MT/Mi-17/Hip-H,Helicopter,New,,2008,,2011 - 2013,80,Yes,,$1.3 b deal (offsets $504 m); Mi-17V-5 armed version
343,Russia,India,1000,Yes,T-90S,Tank,New,,2006,Yes,2009 - 2013,180,Yes,Yes,
9777,Russia,India,250,Yes,YaMZ-238,Diesel engine,New,,2009,Yes,2011 - 2013,120,Yes,Yes,For Casspir-6 APC from South Africa
12296,Russia,India,800,Yes,AL-31,Turbofan,New,,2012,,2013 - 2013,50,Yes,,Delivery 2013-2022
32334,Russia,India,150,Yes,PJ-10 BrahMos,Anti-ship MI/SSM,New,,1998,Yes,2006 - 2013,60,Yes,Yes,Version of Yakhont (SS-N-26); officially joint venture for development but mainly using Russian technology
22858,Russia,India,25000,Yes,9M113/AT-5 Spandrel,Anti-tank missile,New,,1988,Yes,1992 - 2013,21800,Yes,Yes,For BMP-2 IFV; ordered from Soviet Union and produced under Russian licence after break-up of Soviet Union; incl 9M113M version from 2003
22881,Russia,India,10000,,9M113/AT-5 Spandrel,Anti-tank missile,New,,2012,,2013 - 2013,2000,Yes,,INR12 b ($225 m) deal
14014,Russia,India,500,Yes,RVV-AE/AA-12 Adder,BVRAAM,New,,2011,Yes,2012 - 2013,400,Yes,,Probably $463 m deal
29340,Russia,India,100,Yes,KAB-500/1500,Guided Bomb,New,,2011,Yes,2013 - 2013,50,Yes,,KAB-500 version
4163,Russia,India,300,Yes,9M311/SA-19 Grison,SAM,New,,2005,Yes,2012 - 2013,300,Yes,,9M311 (SA-N-11) version; for Kashtan CIWS on 3 Talwar (Project-1135) frigates
4274,Russia,India,100,Yes,9M317/SA-17 Grizzly,SAM,New,,2006,Yes,2012 - 2013,100,Yes,,9M317 (SA-N-12) version; for Talwar frigates
24707,Russia,India,4000,Yes,R-73/AA-11 Archer,SRAAM,New,,1996,Yes,1997 - 2013,3500,Yes,,
32338,Russia,India,400,Yes,PJ-10 BrahMos,SSM,New,,1998,,2006 - 2013,280,Yes,Yes,Version of Yakhont (SS-N-26); officially joint venture for development but mainly using Russian technology
29261,Russia,India,1,,Gorshkov,Aircraft carrier,New,Yes,2004,,2013 - 2013,1,,,$2.3 b deal (originally $625-750 m deal but increased); ex-Russian ship rebuilt to conventional take off/landing (CTOL) carrier; Indian designation Vikramaditya; delivery delayed from 2008 to 2013
36400,Russia,India,3,,Talwar,Frigate,New,,2006,,2012 - 2013,3,,,INS55 b ($1.2-1.9 b) deal; ordered due to problems with Indian production of major warships
12697,Russia,Indonesia,6,,Su-30MK/Flanker,FGA aircraft,New,,2012,,2013 - 2013,6,,,$470 m deal; Su-30MK2 version
14009,Russia,Indonesia,50,Yes,RVV-AE/AA-12 Adder,BVRAAM,New,,2008,Yes,2012 - 2013,35,Yes,,For Su-27 and Su-30 combat aircraft
38209,Russia,Iran,2,Yes,Kasta-2E2,Air search radar,New,,2010,Yes,2013 - 2013,2,Yes,,
25619,Russia,Iraq,6,Yes,Mi-24VM/Hind-E,Combat helicopter,New,Yes,2013,,2013 - 2013,4,Yes,,Mi-35 version
24270,Russia,Kazakhstan,10,Yes,BMPT,AFSV,New,,2010,Yes,2011 - 2013,10,Yes,,
28831,Russia,Libya,10,Yes,9P157-2,Tank destroyer,New,,2012,Yes,2013 - 2013,10,Yes,,
28747,Russia,Libya,500,Yes,9M123/AT-15,Anti-tank missile,New,,2012,,2013 - 2013,500,Yes,,For 9P157 tank destroyer
14013,Russia,Malaysia,35,,RVV-AE/AA-12 Adder,BVRAAM,New,,2012,,2012 - 2013,35,Yes,,$35 m deal
25665,Russia,Myanmar,50,Yes,Mi-24P/Hind-F,Combat helicopter,Refurbished,Yes,2009,,2010 - 2013,18,Yes,,Probably second-hand but modernized before delivery; Mi-35P version
2554,Russia,Myanmar,14,Yes,MiG-29/Fulcrum-A,Fighter aircraft,New,Yes,2009,,2011 - 2013,14,Yes,,Part of $570 m deal; incl 4 MiG-29UB
9262,Russia,Myanmar,12,,Mi-2/Hoplite,Light helicopter,Refurbished,Yes,2010,Yes,2012 - 2013,12,Yes,,Probably second-hand but modernised before delivery
21114,Russia,Myanmar,,Yes,Igla-1/SA-16 Gimlet,Portable SAM,New,,2000,Yes,2004 - 2013,1900,Yes,,Incl for MADV AD systems produced in Myanmar
14222,Russia,Pakistan,200,Yes,RD-33,Turbofan,New,,2004,Yes,2007 - 2013,50,Yes,,RD-93 version; for JF-17 combat aircraft from China
25661,Russia,Sudan,32,,Mi-24P/Hind-F,Combat helicopter,Refurbished,Yes,2009,,2011 - 2013,32,Yes,,Probably second-hand but modernized before delivery; probably incl Mi-24V version
25681,Russia,Sudan,12,,Mi-24P/Hind-F,Combat helicopter,Refurbished,Yes,2011,,2013 - 2013,12,Yes,,Probably second-hand but modernized before delivery
20268,Russia,Syria,36,Yes,96K9 Pantsyr-S1,Mobile AD system,New,,2006,Yes,2008 - 2013,36,Yes,,Part of $400-730 m deal; no. could be up to 50
5915,Russia,Syria,8,Yes,9K40 Buk/SA-17,SAM system,New,,2007,,2010 - 2013,8,Yes,,
21768,Russia,Syria,12,Yes,S-125 Pechora-2M,SAM system,New,Yes,2007,Yes,2011 - 2013,12,Yes,,$200 m deal; Syrian SA-3 SAM systems rebuilt to Pechora M2 version
29344,Russia,Syria,100,Yes,KAB-500/1500,Guided Bomb,New,,2010,Yes,2012 - 2013,100,Yes,,
4170,Russia,Syria,700,Yes,9M311/SA-19 Grison,SAM,New,,2006,Yes,2008 - 2013,700,Yes,,Part of $400 m deal; for Pantsyr AD systems
4272,Russia,Syria,160,Yes,9M317/SA-17 Grizzly,SAM,New,,2007,,2010 - 2013,160,Yes,,
30775,Russia,Turkmenistan,60,Yes,Kh-35 Uran/SS-N-25,Anti-ship missile,New,,2008,Yes,2011 - 2013,60,Yes,,$80-84 m deal; for Project-12418 (Tarantul) FAC
30780,Russia,Turkmenistan,25,Yes,Kh-35 Uran/SS-N-25,Anti-ship missile,New,,2013,,2013 - 2013,10,Yes,,$30-40 m deal; delivery 2013-2014
19427,Russia,Uganda,1000,,9M133 Kornet/AT-14,Anti-tank missile,New,,2010,,2012 - 2013,1000,Yes,,Kornet-E version
20267,Russia,United Arab Emirates,50,,96K9 Pantsyr-S1,Mobile AD system,New,,2000,,2009 - 2013,50,Yes,,$800 m deal (incl development partly funded by UAE); first delivery delayed from 2003 to 2009
4162,Russia,United Arab Emirates,1000,Yes,9M311/SA-19 Grison,SAM,New,,2000,,2009 - 2013,1000,Yes,,For 96K9 Pantsyr-S1 AD systems
21771,Russia,Venezuela,11,Yes,S-125 Pechora-2M,SAM system,New,Yes,2008,Yes,2011 - 2013,9,Yes,,Ex-Russian S-125 (SA-3) SAM systems rebuilt to Pechora-2M; delivery 2011-2014
5917,Russia,Venezuela,3,Yes,9K40 Buk/SA-17,SAM system,New,,2009,Yes,2013 - 2013,3,Yes,,
24798,Russia,Venezuela,123,Yes,BMP-3,IFV,New,,2009,,2011 - 2013,123,Yes,,BMP-3M version; incl some BREM-L ARV version
30196,Russia,Venezuela,114,Yes,BTR-80A,IFV,New,,2009,,2011 - 2013,114,Yes,,
36942,Russia,Venezuela,92,,T-72M1,Tank,Refurbished,,2009,,2011 - 2013,92,Yes,,Ex-Russian; modernized to T-72M1M before delivery
14976,Russia,Venezuela,48,Yes,2S19 MSTA-S 152mm,Self-propelled gun,New,Yes,2009,,2011 - 2013,48,Yes,,Possibly ex-Russian
29405,Russia,Venezuela,12,Yes,BM-9A52 Smerch,Self-propelled MRL,New,,2009,Yes,2013 - 2013,12,Yes,,
27661,Russia,Venezuela,1000,Yes,9M117/AT-10 Stabber,Anti-tank missile,New,,2009,Yes,2011 - 2013,1000,Yes,,For BMP-3 IFV
8480,Russia,Venezuela,550,Yes,5V27/SA-3B Goa,SAM,Refurbished,Yes,2008,,2011 - 2013,450,Yes,,Ex-Russian; probably modernized before delivery
4273,Russia,Venezuela,60,Yes,9M317/SA-17 Grizzly,SAM,New,,2009,Yes,2013 - 2013,60,Yes,,
12518,Russia,Viet Nam,50,Yes,3M-54 Klub/SS-N-27,Anti-ship MI/SSM,New,,2009,Yes,2013 - 2013,10,Yes,,For Project-636 (Kilo) submarines
30771,Russia,Viet Nam,400,Yes,Kh-35 Uran/SS-N-25,Anti-ship missile,New,,2004,,2008 - 2013,133,Yes,,For Project-11661 (Gepard) frigates and Project-1241 (Tarantul) FAC
13670,Russia,Viet Nam,80,Yes,53-65,AS torpedo,New,,2009,Yes,2013 - 2013,15,Yes,,For Project-636 (Kilo) submarines
6163,Russia,Viet Nam,80,,TEST-71,AS/ASW torpedo,New,,2009,Yes,2013 - 2013,15,Yes,,For Project-636 (Kilo) submarines
21086,Russia,Viet Nam,400,Yes,Igla-1/SA-16 Gimlet,Portable SAM,New,,1996,Yes,1999 - 2013,390,Yes,,SA-N-10 version for BPS-500 (Ho-A) and Project-10412 (Svetlyak) patrol craft and probably Project-1241 (Tarantul) FAC
22103,Russia,Viet Nam,6,,Project-636E/Kilo,Submarine,New,,2009,,2013 - 2013,1,,,$1.8-2.1 b deal; Project-636M version; Vietnamese designation Ha Noi; delivery 2013-2016
16378,Serbia,Bangladesh,18,Yes,B-52 NORA 155mm,Self-propelled gun,New,Yes,2011,Yes,2013 - 2013,6,Yes,,
23394,Singapore,United Arab Emirates,73,Yes,SRAMS 120mm,Mortar,New,,2011,,2013 - 2013,20,Yes,,Part of AED786 m ($214 m) deal; for use on Agrab-2 (RG-31) mortar carrier from South Africa
15674,South Africa,Benin,10,,Casspir,APC,New,,2012,Yes,2013 - 2013,10,Yes,,Casspir-2000 or Casspir-NG version
21452,South Africa,Equatorial Guinea,25,,Mamba,APC,New,,2012,,2013 - 2013,25,Yes,,Reva-3 and Reva-5 versions
6092,South Africa,Finland,25,,RG-32 Scout,APV,New,,2012,,2013 - 2013,25,,,EUR12.5 m deal; RG-32M version
1972,South Africa,Gabon,2,,MB-326GB,Trainer/combat ac,SecondHand,,2013,Yes,2013 - 2013,2,,,Ex-South African; MB-326M Impala version
9729,South Africa,India,300,Yes,Casspir-6,APC,New,,2009,Yes,2011 - 2013,300,Yes,Yes,MPV-I version; incl production of components and final assembly in India
6087,South Africa,Sweden,110,,RG-32 Scout,APV,New,,2012,,2012 - 2013,110,Yes,,GBP43 m deal; RG-32M version; Swedish designation Galten
21453,South Africa,Thailand,120,Yes,Mamba,APC,New,,2010,Yes,2011 - 2013,120,Yes,,Reva-3 version
30900,South Africa,United Arab Emirates,72,,RG-31 Nyala,APC,New,,2011,,2013 - 2013,20,Yes,,Part of AED786 m ($214 m) deal; mortar carrier version (with 120mm mortar from Singapore); UAE designation Agrab-2
15675,South Africa,United Nations,15,Yes,Casspir,APC,New,,2012,Yes,2013 - 2013,15,Yes,,Casspir-2000 version
30867,South Africa,Yemen,250,Yes,Qutaish-2,APV,New,,2008,Yes,2009 - 2013,210,Yes,Yes,Incl production of components and assembly in Yemen
31688,Spain,Cameroon,1,,CN-235,Transport aircraft,New,,2012,,2013 - 2013,1,,,CN-235M-300 version
34996,Spain,Colombia,1,,C-295,Transport aircraft,New,,2012,,2013 - 2013,1,,,
34986,Spain,Egypt,3,,C-295,Transport aircraft,New,,2012,,2013 - 2013,3,Yes,,
34975,Spain,Indonesia,9,,C-295,Transport aircraft,New,,2012,,2012 - 2013,5,,Yes,$325 m deal; Indonesian designation CN-295; delivery 2012-2014
34989,Spain,Kazakhstan,2,,C-295,Transport aircraft,New,,2012,,2013 - 2013,2,,,
18188,Spain,Mozambique,1,,Conejera,Patrol craft,Refurbished,,2011,,2013 - 2013,1,,,Ex-Spanish; aid; modernized before delivery; Mozambique designation Pebane
34991,Spain,Oman,5,,C-295,Transport aircraft,New,,2012,,2013 - 2013,2,Yes,,
4093,Spain,Pakistan,2,,ATR-72,Transport aircraft,SecondHand,,2012,,2013 - 2013,2,,,Second-hand
34992,Spain,Poland,5,,C-295,Transport aircraft,New,,2012,,2012 - 2013,5,,,PLN876 m ($262 m) deal
34397,Spain,Turkey,6,,CN-235MP,ASW aircraft,New,,1998,,2012 - 2013,6,Yes,Yes,'Meltem-2' programme; CN-235D/K (CN-235MP Persuader) version; assembled from kits in Turkey; aircraft delivered 2001-2002 but ASW and MP systems fitted 2012-2013
34416,Spain,Turkey,3,,CN-235MP,MP aircraft,New,,1998,,2013 - 2013,3,Yes,Yes,'Meltem-1' and 'Meltem-2' programme; assembled from kits in Turkey; aircraft delivered 2002 but MP systems fitted 2013; for coast guard
37509,Spain,United Arab Emirates,3,,A-330 MRTT,Tanker/transport ac,New,,2008,,2013 - 2013,3,,,EUR730 m deal
34403,Spain,United States,36,Yes,CN-235MP,MP aircraft,New,,2004,,2007 - 2013,15,Yes,Yes,Part of coast guard 'Deepwater-2000' programme; CN-235M-300M/C-235ER version; US designation HC-144; incl production of components and assembly in USA; delivery 2006-2020; 36 selected but not yet all ordered by end-2013
5518,Spain,Uruguay,60,,ECIA 120mm,Mortar,SecondHand,,2012,Yes,2013 - 2013,60,Yes,,Second-hand
31687,Spain,Yemen,1,,CN-235,Transport aircraft,New,,2011,,2013 - 2013,1,,,Financed by USA
24512,Sweden,Australia,3,,Giraffe AMB,Air search radar,New,,2010,,2012 - 2013,3,,,SEK550 m ($86 m) 'Land-19 Phase-7A' deal (incl 1 on lease from 2011 until delivery of 3 ordered); for use in Afghanistan
29895,Sweden,Finland,100,Yes,RBS-70 Mk-3 Bolide,Portable SAM,New,,2009,Yes,2013 - 2013,100,Yes,,EUR26 m deal
35016,Sweden,France,53,,BvS-10,APC,New,,2009,,2011 - 2013,53,,,'VHM' programme; BvS-10 Mk-2 version; incl CP and mortar carrier versions; option on 76 more
9614,Sweden,Germany,30,Yes,RBS-15 Mk-3,Anti-ship MI/SSM,New,,2005,,2011 - 2013,30,Yes,Yes,SEK350 m ($46 m) deal (offsets incl production of components and assembly in FRG); for Braunschweig (K-130) frigates
18258,Sweden,Italy,5,,ARTHUR,Arty locating radar,New,,2009,,2010 - 2013,5,Yes,,EUR46 m deal
27642,Sweden,"Korea, South",24,,CEROS-200,Fire control radar,New,,2005,,2008 - 2013,12,Yes,Yes,For 24 Gumdoksuri (PKX or PKG-A) FAC produced in South Korea
27643,Sweden,Norway,6,,CEROS-200,Fire control radar,New,,2003,,2010 - 2013,6,,,SEK155 m ($16 m) deal; for 6 Skjold FAC produced in Norway
14999,Sweden,Pakistan,150,Yes,MFI-17 Supporter,Trainer aircraft,New,,2001,Yes,2001 - 2013,136,Yes,Yes,Super Mushshak version
29865,Sweden,Pakistan,,,RBS-70,Portable SAM,New,,1985,Yes,1988 - 2013,1250,Yes,Yes,Probably incl RBS-70 Mk-3 version
5362,Sweden,Poland,645,Yes,DI-12,Diesel engine (AV),New,,2003,,2004 - 2013,596,Yes,,For 645 AMV APC and IFV from Finland
9616,Sweden,Poland,36,,RBS-15 Mk-3,Anti-ship MI/SSM,New,,2006,,2011 - 2013,36,Yes,,Part of PLN560 m ($190 m) deal; from FRG production line; for modernized Orkan corvettes
12268,Sweden,Saudi Arabia,2,Yes,Saab-2000 AEW,AEW&C aircraft,New,,2010,,2013 - 2013,2,Yes,,SEK4.5 b ($670 m) deal; second-hand Saab-2000 transport aircraft modified to AEW aircraft
38103,Sweden,Spain,1,Yes,Skeldar,UAV,New,,2013,,2013 - 2013,1,Yes,,
34299,Sweden,Thailand,6,,JAS-39C Gripen,FGA aircraft,New,,2010,,2013 - 2013,6,,,SEK2.2 b ($320 m) deal; JAS-39C version
18390,Sweden,Thailand,25,Yes,RBS-15M,Anti-ship missile,New,,2010,,2012 - 2013,25,Yes,,RBS-15F version; for JAS-39 combat aircraft
24504,Sweden,United Arab Emirates,6,,Giraffe AMB,Air search radar,New,,2004,,2011 - 2013,3,Yes,,For 6 Baynunah corvettes from France
37891,Sweden,United Arab Emirates,12,,Ghannatha,FAC,New,,2009,,2013 - 2013,4,Yes,Yes,Part of AED930 m ($252 m) deal; incl 9 produced in UAE; UAE designation Al Bazam
24509,Sweden,United Kingdom,5,,Giraffe AMB,Air search radar,New,,2008,,2012 - 2013,5,Yes,,GBP30 m ($60 m) deal; part of 'LEAPP' programme
18260,Sweden,Unknown country,2,Yes,ARTHUR,Arty locating radar,New,,2010,,2013 - 2013,2,Yes,,
9920,Switzerland,Afghanistan,18,,PC-12,Light transport ac,New,,2012,,2013 - 2013,3,Yes,,$218 m deal; ordered via USA and possibly modified in USA for reconnaissance role before delivery; delivery 2013-2015
36980,Switzerland,Belgium,242,,Piranha-3,APC,New,,2006,,2008 - 2013,183,Yes,Yes,"EUR700-800 m 'AIV' programme (offsets incl production of components and assembly in Belgium); incl 32 IFV, 40 AFSV, 24 command post, 12 ambulance, 17 ARV and 18 AEV version; delivery 2008-2015"
25447,Switzerland,Botswana,5,,PC-7 Turbo Trainer,Trainer aircraft,New,,2011,,2013 - 2013,5,,,CHF40 m ($46 m) deal; PC-7 Mk-2 version; delivery 2013
36997,Switzerland,Brazil,18,,Piranha-3,APC,New,,2008,,2010 - 2013,14,Yes,,"Piranha-3C version; incl 2 command, 1 ARV and 1 ambulance version; possibly incl production of components in Brazil; delivery 2010-2014"
34780,Switzerland,China,,,GDF 35mm,AA gun,New,,1995,Yes,1997 - 2013,320,Yes,Yes,Chinese designation Type-90 and Type-99
8135,Switzerland,China,,,Skyguard,Fire control radar,New,,1995,Yes,1997 - 2013,160,Yes,Yes,For use with GDF 35mm (Type-90) AA guns and possibly HQ-7 (FM-80) SAM systems
25446,Switzerland,India,75,,PC-7 Turbo Trainer,Trainer aircraft,New,,2012,,2013 - 2013,30,Yes,,PC-7 Mk-2 version; incl assembly from kits in India; delivery 2013-2015
36994,Switzerland,Romania,31,,Piranha-3,APC,New,,2007,,2007 - 2013,31,Yes,,EUR47 m deal; Piranha-3C version; for use in Afghanistan and Iraq
24751,Switzerland,Saudi Arabia,55,,PC-21,Trainer aircraft,New,,2012,,2013 - 2013,2,Yes,,Part of GBP1.6 b deal; ordered via UK company; delivery 2013-2016
36995,Switzerland,Spain,21,,Piranha-3,APC,New,,2007,,2010 - 2013,18,Yes,,Piranha-3C version; incl 4 IFV version; delivery 2010-2014
3475,Switzerland,United States,724,,PC-9,Trainer aircraft,New,,1996,,1999 - 2013,709,Yes,Yes,$7 b 'JPATS' programme (incl $4.7 b for aircraft only); US designation T-6A and T-6B Texan-2; delivery 1999-2017
15063,Turkey,Azerbaijan,30,Yes,Roketsan 107mm,Self-propelled MRL,New,,2010,Yes,2011 - 2013,30,Yes,,Part of $244 m deal
13097,Turkey,Azerbaijan,40,Yes,T-122 122mm,Self-propelled MRL,New,,2010,,2013 - 2013,40,Yes,,Part of $244 m deal
29644,Turkey,Azerbaijan,20,Yes,TR-300 300mm,Self-propelled MRL,New,,2010,,2013 - 2013,20,Yes,,Part of $244 m deal
35884,Turkey,Bangladesh,10,Yes,Cobra,APV,New,,2012,Yes,2013 - 2013,10,Yes,,
35881,Turkey,Kazakhstan,40,Yes,Cobra,APV,New,,2012,,2012 - 2013,22,Yes,,
36493,Turkey,Pakistan,,,Panter 155mm,Towed gun,New,,2009,Yes,2011 - 2013,60,Yes,Yes,
37890,Turkey,Qatar,3,,MRTP-33,Patrol craft,New,,2012,,2013 - 2013,1,,,MRTP-34 version; delivery by 2014
19801,Turkey,United Arab Emirates,,,CIRIT,ASM,New,,2013,Yes,2013 - 2013,100,Yes,,AED720m ($196 m) deal
38131,Ukraine,Azerbaijan,1,Yes,80K6M,Air search radar,New,,2012,Yes,2013 - 2013,1,Yes,,
27666,Ukraine,Bangladesh,47,Yes,6TD,Diesel engine,New,,2011,Yes,2012 - 2013,47,Yes,,For 44 Type-90-2 (MBT-2000) tanks and 3 Type-654 ARV from China
27667,Ukraine,China,50,,6TD,Diesel engine,New,,2011,,2013 - 2013,25,Yes,,Probably for tank produced in China
